01  ---------------------------------账号信息---------------------------------------- 
账号  0112@qq.com 
姓名  情歌王 
性别  女 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  24 
体重  60 
身高  165 
月收入  14356 
住房情况  有房 
职位  务农 
宗教信仰  基督教 
作息时间  睡得较晚 
是否愿意去对方城市  不愿意 
教育学历  初中(及以下) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  3个 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  27,34 
身高范围  172,182 
对方教育程度  高中(中专) 
对方住房情况  租房 
对方地理位置  国内 
对方婚姻状况  未婚 
对方信仰范围  无宗教信仰 
是否接受他有小孩  是 
对方收入  3027 
04  ---------------------------------性格特点---------------------------------------- 
.外向  2 , 4  
.强势  6 , 6  
.聪明  4 , 5  
.敏感  1 , 1  
.感性  5 , 7  
.热情  3 , 6  
.较真儿  2 , 6  
.急躁  2 , 5  
.有激情  3 , 6  
.活泼  4 , 7  
.喜欢让别人听自己的安排或指挥  6 , 2  
.心直口快  1 , 1  
.拘谨  4 , 2  
.对事物好奇  6 , 6  
.乐观  3 , 5  
.执著  1 , 4  
.稳重  4 , 3  
.浪漫  4 , 3  
.自私  2 , 3  
.固执己见  5 , 7  
.有主见  1 , 2  
.领导者  7 , 4  
.细心  7 , 4  
.理性  5 , 6  
.有耐心  1 , 3  
.对他人好奇  3 , 3  
.独立  2 , 1  
.善良  5 , 1  
.任性  1 , 1  
.爱发脾气  7 , 3  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  6   
,我总是试着去适应对方。  4   
,我总是试着去了解对方。  3   
,我总是试着尊重他人不同意见。  7   
,遇到问题时，我常常会感到束手无策。  2   
,我常常感到生活、工作有很大压力。  7   
,我擅长分析问题。  3   
,我的语言表达能力非常好。  1   
,我经常会拿不定主意，需要别人的指点。  2   
,从感情上接近他人对你来说是件很容易的事。  3   
,对我而言，人们在情感方面接近我是困难的。  6   
,通常我会照顾别人的感受。  5   
,通常我坚持自己的意见和想法。  5   
,知难而退——遇到困难时我通常选择知难而退  4   
,当事情多发时，我一样可以从容应对。  7   
,我的理解能力很强，能迅速理解别人的意图  3   
,我很容易生气。  2   
,我总是喜欢问为什么。  4   
,有冲突时，我总是试着妥善的解决。  4   
,当关系明确，我会对另一半敞开心扉。  7   
,我经常抱怨。  1   
,我喜欢心爱的人对我撒娇。;我喜欢对心爱的人撒娇。  3   
,通常我愿意和别人讲道理。  4   
