01  ---------------------------------账号信息---------------------------------------- 
账号  0114@qq.com 
姓名  花海泪 
性别  男 
婚姻状态  离婚 
02  ---------------------------------个人资料---------------------------------------- 
年龄  24 
体重  56 
身高  174 
月收入  23157 
住房情况  和家人同住 
职位  单位职员 
宗教信仰  伊斯兰教 
作息时间  早睡早起 
是否愿意去对方城市  视情况而定 
教育学历  初中(及以下) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  4个及以上 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  18,21 
身高范围  157,167 
对方教育程度  本科 
对方住房情况  和家人同住 
对方地理位置  同城 
对方婚姻状况  不限 
对方信仰范围  基督教 
是否接受他有小孩  否 
对方收入  4740 
04  ---------------------------------性格特点---------------------------------------- 
.外向  2 , 7  
.强势  4 , 6  
.聪明  2 , 7  
.敏感  6 , 1  
.感性  4 , 5  
.热情  2 , 4  
.较真儿  1 , 4  
.急躁  6 , 7  
.有激情  6 , 3  
.活泼  7 , 5  
.喜欢让别人听自己的安排或指挥  3 , 5  
.心直口快  1 , 6  
.拘谨  2 , 4  
.对事物好奇  6 , 5  
.乐观  1 , 5  
.执著  1 , 7  
.稳重  1 , 6  
.浪漫  3 , 1  
.自私  5 , 1  
.固执己见  3 , 6  
.有主见  6 , 1  
.领导者  4 , 4  
.细心  6 , 6  
.理性  3 , 7  
.有耐心  5 , 5  
.对他人好奇  1 , 6  
.独立  6 , 3  
.善良  2 , 3  
.任性  7 , 2  
.爱发脾气  1 , 4  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  4   
,我总是试着去适应对方。  7   
,我总是试着去了解对方。  2   
,我总是试着尊重他人不同意见。  4   
,遇到问题时，我常常会感到束手无策。  7   
,我常常感到生活、工作有很大压力。  5   
,我擅长分析问题。  1   
,我的语言表达能力非常好。  5   
,我经常会拿不定主意，需要别人的指点。  7   
,从感情上接近他人对你来说是件很容易的事。  4   
,对我而言，人们在情感方面接近我是困难的。  7   
,通常我会照顾别人的感受。  5   
,通常我坚持自己的意见和想法。  6   
,知难而退——遇到困难时我通常选择知难而退  7   
,当事情多发时，我一样可以从容应对。  3   
,我的理解能力很强，能迅速理解别人的意图  2   
,我很容易生气。  3   
,我总是喜欢问为什么。  2   
,有冲突时，我总是试着妥善的解决。  4   
,当关系明确，我会对另一半敞开心扉。  5   
,我经常抱怨。  3   
,我喜欢心爱的人对我撒娇。;我喜欢对心爱的人撒娇。  2   
,通常我愿意和别人讲道理。  6   
,当别人需要时，通常我愿意花时间帮助他们。  5   
,通常我能在交谈中抓住话题的要领。  4   
