01  ---------------------------------账号信息---------------------------------------- 
账号  0199@qq.com 
姓名  陌上花 
性别  男 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  25 
体重  69 
身高  180 
月收入  3959 
住房情况  单位宿舍 
职位  务农 
宗教信仰  基督教 
作息时间  睡得较晚 
是否愿意去对方城市  愿意 
教育学历  博士(及以上) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  4个及以上 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  18,22 
身高范围  163,173 
对方教育程度  硕士 
对方住房情况  和家人同住 
对方地理位置  同省 
对方婚姻状况  丧偶 
对方信仰范围  其他宗教 
是否接受他有小孩  视情况而定 
对方收入  4673 
04  ---------------------------------性格特点---------------------------------------- 
.外向  5 , 7  
.强势  4 , 3  
.聪明  3 , 4  
.敏感  4 , 5  
.感性  4 , 2  
.热情  6 , 2  
.较真儿  2 , 4  
.急躁  6 , 3  
.有激情  6 , 7  
.活泼  2 , 1  
.喜欢让别人听自己的安排或指挥  6 , 1  
.心直口快  5 , 1  
.拘谨  5 , 2  
.对事物好奇  6 , 1  
.乐观  1 , 6  
.执著  1 , 2  
.稳重  7 , 5  
.浪漫  3 , 2  
.自私  6 , 2  
.固执己见  2 , 6  
.有主见  6 , 7  
.领导者  4 , 1  
.细心  3 , 2  
.理性  1 , 3  
.有耐心  1 , 2  
.对他人好奇  4 , 5  
.独立  6 , 1  
.善良  1 , 2  
.任性  7 , 3  
.爱发脾气  5 , 1  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  6   
,我总是试着去适应对方。  6   
,我总是试着去了解对方。  3   
,我总是试着尊重他人不同意见。  2   
,遇到问题时，我常常会感到束手无策。  6   
,我常常感到生活、工作有很大压力。  7   
,我擅长分析问题。  3   
,我的语言表达能力非常好。  5   
,我经常会拿不定主意，需要别人的指点。  3   
,从感情上接近他人对你来说是件很容易的事。  4   
,对我而言，人们在情感方面接近我是困难的。  3   
,通常我会照顾别人的感受。  2   
,通常我坚持自己的意见和想法。  6   
,知难而退——遇到困难时我通常选择知难而退  2   
,当事情多发时，我一样可以从容应对。  5   
,我的理解能力很强，能迅速理解别人的意图  2   
