01  ---------------------------------账号信息---------------------------------------- 
账号  0143@qq.com 
姓名  小男人 
性别  女 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  34 
体重  45 
身高  157 
月收入  18619 
住房情况  单位宿舍 
职位  自由职业 
宗教信仰  佛教 
作息时间  夜猫子 
是否愿意去对方城市  不愿意 
教育学历  本科 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  3个 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  37,44 
身高范围  164,174 
对方教育程度  硕士 
对方住房情况  单位宿舍 
对方地理位置  同城 
对方婚姻状况  丧偶 
对方信仰范围  佛教 
是否接受他有小孩  视情况而定 
对方收入  2386 
04  ---------------------------------性格特点---------------------------------------- 
.外向  1 , 5  
.强势  6 , 6  
.聪明  6 , 7  
.敏感  6 , 5  
.感性  7 , 5  
.热情  6 , 3  
.较真儿  2 , 7  
.急躁  2 , 1  
.有激情  6 , 2  
.活泼  3 , 1  
.喜欢让别人听自己的安排或指挥  7 , 7  
.心直口快  6 , 5  
.拘谨  3 , 4  
.对事物好奇  6 , 6  
.乐观  6 , 4  
.执著  3 , 6  
.稳重  1 , 5  
.浪漫  4 , 6  
.自私  3 , 1  
.固执己见  1 , 5  
.有主见  2 , 5  
.领导者  6 , 4  
.细心  3 , 3  
.理性  4 , 3  
.有耐心  5 , 5  
.对他人好奇  1 , 5  
.独立  4 , 7  
.善良  6 , 5  
.任性  5 , 1  
.爱发脾气  2 , 2  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  3   
,我总是试着去适应对方。  4   
,我总是试着去了解对方。  5   
,我总是试着尊重他人不同意见。  4   
,遇到问题时，我常常会感到束手无策。  5   
,我常常感到生活、工作有很大压力。  1   
,我擅长分析问题。  2   
,我的语言表达能力非常好。  2   
,我经常会拿不定主意，需要别人的指点。  7   
,从感情上接近他人对你来说是件很容易的事。  3   
,对我而言，人们在情感方面接近我是困难的。  2   
,通常我会照顾别人的感受。  4   
,通常我坚持自己的意见和想法。  6   
,知难而退——遇到困难时我通常选择知难而退  4   
,当事情多发时，我一样可以从容应对。  1   
,我的理解能力很强，能迅速理解别人的意图  6   
