01  ---------------------------------账号信息---------------------------------------- 
账号  0054@qq.com 
姓名  望空城 
性别  女 
婚姻状态  未婚 
02  ---------------------------------个人资料---------------------------------------- 
年龄  33 
体重  63 
身高  163 
月收入  13042 
住房情况  有房 
职位  务农 
宗教信仰  天主教 
作息时间  没规律 
是否愿意去对方城市  视情况而定 
教育学历  博士(及以上) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  2个 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  36,43 
身高范围  170,180 
对方教育程度  初中(及以下) 
对方住房情况  和家人同住 
对方地理位置  同城 
对方婚姻状况  不限 
对方信仰范围  不限 
是否接受他有小孩  视情况而定 
对方收入  3358 
04  ---------------------------------性格特点---------------------------------------- 
.外向  5 , 5  
.强势  4 , 3  
.聪明  5 , 2  
.敏感  3 , 1  
.感性  7 , 7  
.热情  4 , 5  
.较真儿  6 , 1  
.急躁  6 , 4  
.有激情  3 , 1  
.活泼  2 , 2  
.喜欢让别人听自己的安排或指挥  6 , 7  
.心直口快  5 , 4  
.拘谨  6 , 2  
.对事物好奇  3 , 1  
.乐观  4 , 3  
.执著  1 , 5  
.稳重  4 , 5  
.浪漫  3 , 4  
.自私  4 , 3  
.固执己见  6 , 5  
.有主见  1 , 7  
.领导者  4 , 1  
.细心  1 , 5  
.理性  5 , 3  
.有耐心  1 , 3  
.对他人好奇  1 , 1  
.独立  2 , 6  
.善良  7 , 2  
.任性  7 , 2  
.爱发脾气  7 , 6  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  5   
,我总是试着去适应对方。  7   
,我总是试着去了解对方。  4   
,我总是试着尊重他人不同意见。  5   
,遇到问题时，我常常会感到束手无策。  4   
,我常常感到生活、工作有很大压力。  6   
,我擅长分析问题。  2   
,我的语言表达能力非常好。  4   
,我经常会拿不定主意，需要别人的指点。  3   
,从感情上接近他人对你来说是件很容易的事。  7   
,对我而言，人们在情感方面接近我是困难的。  4   
,通常我会照顾别人的感受。  1   
,通常我坚持自己的意见和想法。  5   
