01  ---------------------------------账号信息---------------------------------------- 
账号  0075@qq.com 
姓名  如初悸 
性别  男 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  25 
体重  63 
身高  163 
月收入  17133 
住房情况  租房 
职位  工人 
宗教信仰  基督教 
作息时间  睡得较晚 
是否愿意去对方城市  不愿意 
教育学历  博士(及以上) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  3个 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  18,22 
身高范围  146,156 
对方教育程度  初中(及以下) 
对方住房情况  和家人同住 
对方地理位置  同乡 
对方婚姻状况  未婚 
对方信仰范围  不限 
是否接受他有小孩  否 
对方收入  4028 
04  ---------------------------------性格特点---------------------------------------- 
.外向  6 , 6  
.强势  5 , 2  
.聪明  6 , 4  
.敏感  2 , 3  
.感性  3 , 5  
.热情  6 , 5  
.较真儿  2 , 4  
.急躁  6 , 6  
.有激情  2 , 4  
.活泼  6 , 6  
.喜欢让别人听自己的安排或指挥  4 , 2  
.心直口快  5 , 7  
.拘谨  1 , 5  
.对事物好奇  1 , 6  
.乐观  2 , 5  
.执著  1 , 1  
.稳重  6 , 5  
.浪漫  2 , 4  
.自私  2 , 5  
.固执己见  1 , 2  
.有主见  7 , 1  
.领导者  3 , 3  
.细心  3 , 3  
.理性  1 , 7  
.有耐心  1 , 4  
.对他人好奇  2 , 7  
.独立  3 , 7  
.善良  2 , 4  
.任性  3 , 4  
.爱发脾气  5 , 1  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  4   
,我总是试着去适应对方。  7   
,我总是试着去了解对方。  6   
,我总是试着尊重他人不同意见。  7   
,遇到问题时，我常常会感到束手无策。  2   
,我常常感到生活、工作有很大压力。  3   
,我擅长分析问题。  5   
,我的语言表达能力非常好。  1   
,我经常会拿不定主意，需要别人的指点。  5   
,从感情上接近他人对你来说是件很容易的事。  7   
,对我而言，人们在情感方面接近我是困难的。  6   
,通常我会照顾别人的感受。  2   
,通常我坚持自己的意见和想法。  2   
,知难而退——遇到困难时我通常选择知难而退  2   
,当事情多发时，我一样可以从容应对。  5   
,我的理解能力很强，能迅速理解别人的意图  1   
,我很容易生气。  2   
,我总是喜欢问为什么。  3   
,有冲突时，我总是试着妥善的解决。  1   
,当关系明确，我会对另一半敞开心扉。  1   
,我经常抱怨。  7   
,我喜欢心爱的人对我撒娇。;我喜欢对心爱的人撒娇。  4   
,通常我愿意和别人讲道理。  3   
,当别人需要时，通常我愿意花时间帮助他们。  5   
,通常我能在交谈中抓住话题的要领。  2   
,我擅长制造浪漫。  4   
06  ---------------------------------人生价值观一---------------------------------------- 
`忠诚  6   
`善良  5   
`积极进取  2   
`有同情心  3   
`工作勤奋、努力  7   
`喜欢冒险  3   
`有责任心  2   
