01  ---------------------------------账号信息---------------------------------------- 
账号  0003@qq.com 
姓名  恋、空 
性别  男 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  19 
体重  90 
身高  176 
月收入  8094 
住房情况  有房 
职位  单位职员 
宗教信仰  天主教 
作息时间  没规律 
是否愿意去对方城市  视情况而定 
教育学历  博士(及以上) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  4个及以上 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  18,18 
身高范围  159,169 
对方教育程度  不限 
对方住房情况  不限 
对方地理位置  不限 
对方婚姻状况  不限 
对方信仰范围  不限 
是否接受他有小孩  是 
对方收入  4698 
04  ---------------------------------性格特点---------------------------------------- 
.外向  7 , 5  
.强势  7 , 1  
.聪明  7 , 7  
.敏感  2 , 3  
.感性  2 , 3  
.热情  1 , 2  
.较真儿  7 , 3  
.急躁  1 , 6  
.有激情  7 , 6  
.活泼  7 , 2  
.喜欢让别人听自己的安排或指挥  3 , 1  
.心直口快  3 , 1  
.拘谨  4 , 5  
.对事物好奇  7 , 6  
.乐观  4 , 3  
.执著  3 , 5  
.稳重  1 , 6  
.浪漫  3 , 1  
.自私  1 , 3  
.固执己见  1 , 5  
.有主见  6 , 4  
.领导者  3 , 1  
.细心  7 , 1  
.理性  4 , 7  
.有耐心  7 , 1  
.对他人好奇  7 , 7  
.独立  5 , 7  
.善良  3 , 6  
.任性  3 , 6  
.爱发脾气  7 , 6  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  1   
,我总是试着去适应对方。  7   
,我总是试着去了解对方。  3   
,我总是试着尊重他人不同意见。  1   
,遇到问题时，我常常会感到束手无策。  5   
,我常常感到生活、工作有很大压力。  2   
,我擅长分析问题。  1   
,我的语言表达能力非常好。  2   
,我经常会拿不定主意，需要别人的指点。  5   
,从感情上接近他人对你来说是件很容易的事。  6   
,对我而言，人们在情感方面接近我是困难的。  6   
,通常我会照顾别人的感受。  6   
,通常我坚持自己的意见和想法。  5   
,知难而退——遇到困难时我通常选择知难而退  3   
,当事情多发时，我一样可以从容应对。  6   
,我的理解能力很强，能迅速理解别人的意图  3   
,我很容易生气。  2   
,我总是喜欢问为什么。  1   
,有冲突时，我总是试着妥善的解决。  4   
,当关系明确，我会对另一半敞开心扉。  2   
,我经常抱怨。  7   
