01  ---------------------------------账号信息---------------------------------------- 
账号  0018@qq.com 
姓名  烟奴闫 
性别  男 
婚姻状态  未婚 
02  ---------------------------------个人资料---------------------------------------- 
年龄  43 
体重  83 
身高  185 
月收入  10180 
住房情况  购房按揭中 
职位  务农 
宗教信仰  无宗教信仰 
作息时间  睡得较晚 
是否愿意去对方城市  愿意 
教育学历  初中(及以下) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  4个及以上 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  33,40 
身高范围  168,178 
对方教育程度  初中(及以下) 
对方住房情况  购房按揭中 
对方地理位置  同省 
对方婚姻状况  离异 
对方信仰范围  无宗教信仰 
是否接受他有小孩  是 
对方收入  4067 
04  ---------------------------------性格特点---------------------------------------- 
.外向  7 , 1  
.强势  4 , 3  
.聪明  2 , 1  
.敏感  1 , 4  
.感性  6 , 7  
.热情  4 , 7  
.较真儿  3 , 3  
.急躁  3 , 1  
.有激情  4 , 5  
.活泼  2 , 4  
.喜欢让别人听自己的安排或指挥  2 , 7  
.心直口快  2 , 1  
.拘谨  1 , 2  
.对事物好奇  2 , 1  
.乐观  2 , 5  
.执著  7 , 3  
.稳重  6 , 6  
.浪漫  5 , 5  
.自私  4 , 5  
.固执己见  5 , 2  
.有主见  2 , 4  
.领导者  3 , 1  
.细心  2 , 4  
.理性  6 , 4  
.有耐心  7 , 1  
.对他人好奇  5 , 2  
.独立  1 , 3  
.善良  5 , 4  
.任性  6 , 4  
.爱发脾气  6 , 4  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  3   
,我总是试着去适应对方。  4   
,我总是试着去了解对方。  2   
,我总是试着尊重他人不同意见。  5   
,遇到问题时，我常常会感到束手无策。  1   
,我常常感到生活、工作有很大压力。  5   
,我擅长分析问题。  7   
,我的语言表达能力非常好。  6   
,我经常会拿不定主意，需要别人的指点。  5   
,从感情上接近他人对你来说是件很容易的事。  2   
,对我而言，人们在情感方面接近我是困难的。  2   
,通常我会照顾别人的感受。  7   
,通常我坚持自己的意见和想法。  3   
,知难而退——遇到困难时我通常选择知难而退  7   
,当事情多发时，我一样可以从容应对。  4   
,我的理解能力很强，能迅速理解别人的意图  7   
,我很容易生气。  7   
