01  ---------------------------------账号信息---------------------------------------- 
账号  0224@qq.com 
姓名  糖小沫 
性别  女 
婚姻状态  未婚 
02  ---------------------------------个人资料---------------------------------------- 
年龄  44 
体重  56 
身高  165 
月收入  5545 
住房情况  购房按揭中 
职位  单位职员 
宗教信仰  基督教 
作息时间  夜猫子 
是否愿意去对方城市  视情况而定 
教育学历  博士(及以上) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  3个 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  47,54 
身高范围  172,182 
对方教育程度  初中(及以下) 
对方住房情况  租房 
对方地理位置  同乡 
对方婚姻状况  离异 
对方信仰范围  伊斯兰教 
是否接受他有小孩  视情况而定 
对方收入  4002 
04  ---------------------------------性格特点---------------------------------------- 
.外向  6 , 2  
.强势  1 , 2  
.聪明  4 , 5  
.敏感  5 , 1  
.感性  3 , 2  
.热情  6 , 7  
.较真儿  2 , 6  
.急躁  7 , 4  
.有激情  2 , 4  
.活泼  7 , 5  
.喜欢让别人听自己的安排或指挥  5 , 7  
.心直口快  7 , 5  
.拘谨  3 , 5  
.对事物好奇  1 , 4  
.乐观  6 , 4  
.执著  4 , 4  
.稳重  5 , 7  
.浪漫  4 , 7  
.自私  4 , 1  
.固执己见  2 , 2  
.有主见  4 , 7  
.领导者  5 , 6  
.细心  4 , 2  
.理性  5 , 2  
.有耐心  7 , 5  
.对他人好奇  1 , 6  
.独立  1 , 6  
.善良  1 , 2  
.任性  7 , 7  
.爱发脾气  3 , 6  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  3   
,我总是试着去适应对方。  3   
,我总是试着去了解对方。  4   
,我总是试着尊重他人不同意见。  4   
,遇到问题时，我常常会感到束手无策。  4   
,我常常感到生活、工作有很大压力。  4   
,我擅长分析问题。  1   
,我的语言表达能力非常好。  5   
,我经常会拿不定主意，需要别人的指点。  5   
,从感情上接近他人对你来说是件很容易的事。  7   
,对我而言，人们在情感方面接近我是困难的。  7   
,通常我会照顾别人的感受。  2   
,通常我坚持自己的意见和想法。  5   
,知难而退——遇到困难时我通常选择知难而退  1   
,当事情多发时，我一样可以从容应对。  1   
,我的理解能力很强，能迅速理解别人的意图  3   
,我很容易生气。  1   
,我总是喜欢问为什么。  1   
,有冲突时，我总是试着妥善的解决。  3   
,当关系明确，我会对另一半敞开心扉。  1   
,我经常抱怨。  4   
,我喜欢心爱的人对我撒娇。;我喜欢对心爱的人撒娇。  6   
,通常我愿意和别人讲道理。  6   
,当别人需要时，通常我愿意花时间帮助他们。  4   
,通常我能在交谈中抓住话题的要领。  2   
,我擅长制造浪漫。  2   
06  ---------------------------------人生价值观一---------------------------------------- 
`忠诚  2   
`善良  7   
`积极进取  4   
`有同情心  5   
`工作勤奋、努力  5   
`喜欢冒险  1   
`有责任心  6   
`有社会责任感  2   
`有正义感  4   
`生活中我是个很现实的人。  3   
