01  ---------------------------------账号信息---------------------------------------- 
账号  0019@qq.com 
姓名  腻味人。 
性别  男 
婚姻状态  丧偶 
02  ---------------------------------个人资料---------------------------------------- 
年龄  25 
体重  56 
身高  163 
月收入  24871 
住房情况  和家人同住 
职位  单位负责人 
宗教信仰  伊斯兰教 
作息时间  没规律 
是否愿意去对方城市  愿意 
教育学历  初中(及以下) 
家乡  江苏 南京 
现居住地  江苏 南京 
兄弟姐妹几人  独生子女 
03  ---------------------------------择偶要求---------------------------------------- 
年龄范围  18,22 
身高范围  146,156 
对方教育程度  硕士 
对方住房情况  和家人同住 
对方地理位置  不限 
对方婚姻状况  离异 
对方信仰范围  佛教 
是否接受他有小孩  否 
对方收入  3496 
04  ---------------------------------性格特点---------------------------------------- 
.外向  1 , 5  
.强势  3 , 4  
.聪明  3 , 7  
.敏感  1 , 7  
.感性  6 , 2  
.热情  3 , 2  
.较真儿  5 , 7  
.急躁  5 , 1  
.有激情  4 , 6  
.活泼  5 , 1  
.喜欢让别人听自己的安排或指挥  6 , 4  
.心直口快  3 , 5  
.拘谨  6 , 1  
.对事物好奇  7 , 2  
.乐观  4 , 4  
.执著  6 , 5  
.稳重  2 , 6  
.浪漫  6 , 1  
.自私  4 , 5  
.固执己见  4 , 4  
.有主见  4 , 2  
.领导者  6 , 3  
.细心  4 , 2  
.理性  3 , 2  
.有耐心  7 , 1  
.对他人好奇  4 , 2  
.独立  1 , 5  
.善良  2 , 6  
.任性  3 , 4  
.爱发脾气  5 , 4  
05  ---------------------------------关系互动---------------------------------------- 
,我喜欢换位思考，用对方的立场、角度去理解和思考。  1   
,我总是试着去适应对方。  4   
,我总是试着去了解对方。  5   
,我总是试着尊重他人不同意见。  2   
,遇到问题时，我常常会感到束手无策。  6   
,我常常感到生活、工作有很大压力。  7   
,我擅长分析问题。  1   
,我的语言表达能力非常好。  2   
,我经常会拿不定主意，需要别人的指点。  4   
,从感情上接近他人对你来说是件很容易的事。  7   
,对我而言，人们在情感方面接近我是困难的。  1   
,通常我会照顾别人的感受。  2   
,通常我坚持自己的意见和想法。  4   
,知难而退——遇到困难时我通常选择知难而退  1   
,当事情多发时，我一样可以从容应对。  3   
,我的理解能力很强，能迅速理解别人的意图  5   
,我很容易生气。  2   
,我总是喜欢问为什么。  1   
,有冲突时，我总是试着妥善的解决。  6   
,当关系明确，我会对另一半敞开心扉。  5   
,我经常抱怨。  3   
,我喜欢心爱的人对我撒娇。;我喜欢对心爱的人撒娇。  4   
,通常我愿意和别人讲道理。  4   
,当别人需要时，通常我愿意花时间帮助他们。  3   
,通常我能在交谈中抓住话题的要领。  2   
,我擅长制造浪漫。  2   
06  ---------------------------------人生价值观一---------------------------------------- 
`忠诚  7   
`善良  1   
`积极进取  3   
`有同情心  7   
`工作勤奋、努力  4   
`喜欢冒险  1   
`有责任心  2   
`有社会责任感  6   
